   T9           X4          X56
 6.33   0.9694       0.3062E-01
 6.34   0.9750       0.2498E-01
 6.35   0.9798       0.2015E-01
 6.36   0.9839       0.1609E-01
 6.37   0.9873       0.1273E-01
 6.38   0.9900       0.9986E-02
 6.39   0.9922       0.7782E-02
 6.40   0.9940       0.6030E-02
 6.41   0.9953       0.4652E-02
 6.42   0.9964       0.3576E-02
 6.43   0.9973       0.2742E-02
 6.44   0.9979       0.2099E-02
 6.45   0.9984       0.1604E-02
 6.46   0.9988       0.1225E-02
 6.47   0.9991       0.9354E-03
 6.48   0.9993       0.7140E-03
 6.49   0.9995       0.5450E-03
 6.50   0.9996       0.4161E-03

T9(X4 = X56) =  5.932
