   2    2    4.595
   2    3    4.552
   3    3    5.779
   3    4    5.882
   4    4    6.490
   4    5    6.632
   5    5    6.971
   5    6    7.123
   6    6    7.319
   6    7    7.470
   7    7    7.581
   7    8    7.728
   8    8    7.785
   8    9    7.926
   9    9    7.947
   9   10    8.082
   9   11    8.098
  10   11    8.206
  10   12    8.236
  11   12    8.307
  11   13    8.346
  12   13    8.388
  12   14    8.435
  13   14    8.454
  13   15    8.506
  14   15    8.508
  14   16    8.564
  14   17    8.574
  15   17    8.610
  15   18    8.628
  16   18    8.647
  16   19    8.671
  17   19    8.676
  17   20    8.705
  17   21    8.705
  18   21    8.731
  18   22    8.738
  19   22    8.751
  19   23    8.763
  20   23    8.766
  20   24    8.782
  20   25    8.778
  21   25    8.796
  21   26    8.797
  22   26    8.805
  22   27    8.811
  23   27    8.810
  23   28    8.820
  23   29    8.815
  24   29    8.824
  24   30    8.824
  25   30    8.826
  25   31    8.829
  26   31    8.824
  26   32    8.831
  26   33    8.827
  27   33    8.829
  27   34    8.829
  28   34    8.825
  28   35    8.827
  28   36    8.821
  29   36    8.823
  29   37    8.820
  30   37    8.817
  30   38    8.817
  30   39    8.809
  31   39    8.811
  31   40    8.806
  32   40    8.802
  32   41    8.800
  33   41    8.792
  33   42    8.792
  33   43    8.786
  34   43    8.782
  34   44    8.779
  35   44    8.771
  35   45    8.770
  35   46    8.763
  36   46    8.759
  36   47    8.754
  37   47    8.746
  37   48    8.744
  37   49    8.737
  38   49    8.731
  38   50    8.727
  38   51    8.718
  39   51    8.715
  39   52    8.708
  40   52    8.701
  40   53    8.696
  40   54    8.688
  41   54    8.684
  41   55    8.677
  42   55    8.669
  42   56    8.664
  42   57    8.656
  43   57    8.650
  43   58    8.644
  44   58    8.635
  44   59    8.630
  44   60    8.622
  45   60    8.616
  45   61    8.609
  45   62    8.600
  46   62    8.595
  46   63    8.587
  47   63    8.579
  47   64    8.573
  47   65    8.565
  48   65    8.558
  48   66    8.551
  49   66    8.542
  49   67    8.536
  49   68    8.528
  50   68    8.521
  50   69    8.514
  50   70    8.505
  51   70    8.498
  51   71    8.491
  52   71    8.482
  52   72    8.476
  52   73    8.468
  53   73    8.460
  53   74    8.453
  53   75    8.444
  54   75    8.437
  54   76    8.429
  55   76    8.420
  55   77    8.414
  55   78    8.405
  56   78    8.397
  56   79    8.390
  56   80    8.382
  57   80    8.374
  57   81    8.366
  57   82    8.357
  58   82    8.350
  58   83    8.342
  59   83    8.334
  59   84    8.327
  59   85    8.318
  60   85    8.310
  60   86    8.303
  60   87    8.294
  61   87    8.286
  61   88    8.279
  61   89    8.270
  62   89    8.263
  62   90    8.255
  63   90    8.246
  63   91    8.239
  63   92    8.231
  64   92    8.222
  64   93    8.215
  64   94    8.206
  65   94    8.198
  65   95    8.191
  65   96    8.182
  66   96    8.174
  66   97    8.167
  66   98    8.158
  67   98    8.150
  67   99    8.142
  67  100    8.134
  68  100    8.126
  68  101    8.118
  69  101    8.110
  69  102    8.102
  69  103    8.094
  70  103    8.086
  70  104    8.078
  70  105    8.070
  71  105    8.062
  71  106    8.054
  71  107    8.046
  72  107    8.038
  72  108    8.030
  72  109    8.022
  73  109    8.014
  73  110    8.006
  73  111    7.998
  74  111    7.990
  74  112    7.983
  74  113    7.974
  75  113    7.967
  75  114    7.959
  75  115    7.950
  76  115    7.943
  76  116    7.935
  77  116    7.926
  77  117    7.919
  77  118    7.911
  78  118    7.903
  78  119    7.895
  78  120    7.887
  79  120    7.879
  79  121    7.872
